WATERYEAR,GSLOOK,GSWSMC,GSWS01,GSWS02,GSWS03,GSWS08,GSWS09,GSWS10
2000,6/12/00,6/12/00,6/12/00,6/12/00,6/12/00,6/12/00,6/12/00,6/12/00
2001,5/16/01,5/16/01,5/15/01,5/15/01,5/15/01,5/16/01,5/15/01,5/15/01
2002,4/14/02,4/14/02,4/14/02,4/14/02,4/14/02,4/14/02,4/14/02,4/14/02
2003,4/11/03,4/11/03,5/5/03,4/8/03,5/4/03,4/11/03,5/4/03,5/5/03
2004,6/10/04,6/10/04,5/28/04,5/28/04,6/9/04,6/10/04,6/9/04,6/10/04
2005,6/8/05,6/7/05,6/7/05,6/7/05,6/7/05,6/7/05,6/7/05,6/7/05
2006,5/29/06,5/28/06,6/2/06,6/29/06,6/29/06,6/4/06,6/2/06,4/16/06
2007,4/9/07,4/9/07,5/3/07,4/9/07,5/3/07,4/22/07,6/29/07,4/9/07
2008,5/17/08,5/17/08,4/23/08,4/30/08,6/3/08,5/17/08,6/3/08,6/7/08
2009,5/14/09,5/14/09,5/5/09,5/7/09,5/5/09,5/7/09,5/14/09,5/14/09
2010,6/4/10,6/4/10,6/4/10,6/4/10,6/4/10,6/4/10,6/4/10,6/2/10
2011,5/28/11,5/27/11,5/28/11,5/28/11,4/16/11,5/28/11,6/2/11,5/28/11
2012,4/20/12,6/9/12,6/9/12,6/9/12,6/9/12,4/20/12,6/9/12,6/26/12
2013,5/28/13,5/28/13,5/27/13,5/28/13,5/27/13,5/29/13,5/27/13,5/27/13
2014,5/10/14,5/10/14,5/10/14,5/10/14,5/10/14,5/10/14,5/19/14,5/10/14
2015,4/1/15,5/22/15,5/22/15,4/1/15,4/1/15,5/21/15,5/22/15,5/22/15
2016,4/4/16,5/23/16,4/24/16,4/14/16,4/24/16,4/16/16,4/24/16,4/24/16
2017,5/16/17,5/16/17,5/16/17,5/16/17,5/16/17,5/17/17,5/16/17,5/16/17
2018,4/8/18,4/8/18,4/17/18,4/8/18,4/17/18,4/16/18,4/13/18,4/13/18
2019,4/8/19,4/8/19,4/8/19,4/8/19,4/8/19,4/11/19,4/8/19,4/8/19
2020,6/16/20,6/16/20,4/1/20,4/1/20,4/1/20,6/17/20,6/16/20,4/1/20
2021,5/1/21,5/25/21,6/12/21,5/25/21,5/25/21,4/2/21,6/23/21,6/24/21
2022,6/11/22,6/11/22,6/11/22,6/12/22,6/11/22,6/12/22,6/12/22,6/28/22
2023,4/29/23,4/29/23,4/21/23,4/21/23,4/21/23,4/28/23,4/21/23,4/21/23
2024,6/3/24,6/3/24,6/3/24,6/3/24,6/3/24,6/3/24,6/3/24,6/3/24
2025,4/9/25,4/7/25,4/7/25,4/2/25,4/1/25,4/9/25,4/7/25,4/7/25
