WATERYEAR,GSLOOK,GSWSMC,GSWS01,GSWS02,GSWS03,GSWS08,GSWS09,GSWS10
2000,5.029269976000001e-06,5.1878013122e-06,6.1991219052e-07,3.0623880875600008e-06,2.623966944000001e-06,1.0900396013200003e-06,8.178030308800001e-07,1.38414256296e-06
2001,3.6079545480000007e-06,3.640754134800001e-06,3.6079545480000004e-07,2.1057334725600005e-06,2.10628013234e-06,8.199896700000001e-07,3.3892906360000004e-07,7.396306823400002e-07
2002,4.225680099400001e-06,4.536182854440001e-06,1.7493112960000006e-07,1.7821108828000003e-06,1.8001506555400004e-06,5.280733474800002e-07,3.788352275400002e-07,5.318999659400001e-07
2003,4.154614328e-06,3.483862777940001e-06,1.3447830588000007e-07,2.0297477631400005e-06,1.9570420124000003e-06,4.586475554200001e-07,4.766873281600002e-07,6.521651175400002e-07
2004,5.466597800000001e-06,5.17249483836e-06,9.730544084e-07,2.984762398800001e-06,3.0842544787600004e-06,1.5098743123600002e-06,1.0900396013200003e-06,1.3600895326400001e-06
2005,5.466597800000001e-06,4.238253274340001e-06,6.630983131400001e-07,2.766098486800001e-06,2.6021005528000005e-06,1.0965995186800003e-06,9.107351934800001e-07,1.3551695946200002e-06
2006,4.0070161874000014e-06,4.441610712500001e-06,3.498622592000001e-07,2.0516141543400006e-06,2.22654528394e-06,9.3642820314e-07,4.3678116422000014e-07,6.374053034800001e-07
2007,4.2639462840000006e-06,3.5336088179200006e-06,3.8976842314000017e-07,1.6722322670200003e-06,1.6689523083400003e-06,5.898459026200002e-07,4.0452823720000004e-07,4.881671835400001e-07
2008,6.778581272000001e-06,5.542583509420002e-06,7.150309922400001e-07,2.59335399632e-06,2.3375172192800002e-06,9.8508092356e-07,6.964445597200001e-07,7.478305790400001e-07
2009,4.482610196000001e-06,4.0343491764e-06,6.046057166800002e-07,2.1423596778200005e-06,2.3539170126800005e-06,6.231921492000001e-07,6.696582305000001e-07,6.958978999400002e-07
2010,5.903925624000001e-06,5.703301484740001e-06,1.0818397046200002e-06,3.713459885540001e-06,3.5970213524000007e-06,1.5191675286200005e-06,1.4978477972000005e-06,1.1878917019400003e-06
2011,5.903925624000001e-06,4.13985451394e-06,7.866434234200003e-07,2.7037792718800005e-06,2.8754304428000007e-06,1.1004261371400003e-06,9.719610888400003e-07,7.833634647400002e-07
2012,5.3353994528000005e-06,4.192880512600001e-06,7.981232788000002e-07,2.8502840929200005e-06,2.9191632252000004e-06,9.347882238000002e-07,7.325241052000001e-07,7.401773421200001e-07
2013,5.029269976000001e-06,4.615995182320001e-06,7.286974867400002e-07,2.9519628120000005e-06,2.7365788586800005e-06,1.1911716606200002e-06,7.396306823400002e-07,9.107351934800001e-07
2014,4.373278240000001e-06,4.2666795829000005e-06,5.685261712e-07,2.1680526874800005e-06,2.1931990373600007e-06,6.887913228000001e-07,5.313533061600002e-07,6.259254481000002e-07
2015,3.170626724000001e-06,3.6188877436000008e-06,2.7332989000000005e-07,1.7892174599400004e-06,1.7088584722800003e-06,4.701274108e-07,9.457214194000006e-08,5.357265844000001e-07
2016,3.7938188732000003e-06,4.045282372000001e-06,3.0284951812000004e-07,1.6804321637200004e-06,1.7241649461200003e-06,6.0897899492e-07,8.746556480000003e-08,5.466597800000001e-07
2017,4.553675967400001e-06,4.325718839140001e-06,4.7723398794e-07,2.5649276877600007e-06,2.1352531006800004e-06,4.919938020000001e-07,5.455664604400002e-07,5.903925624000001e-07
2018,3.4986225920000005e-06,3.676833680280001e-06,3.279958680000001e-07,1.7165117092000002e-06,1.6574724529600005e-06,2.9519628120000005e-07,1.2737172874000004e-07,3.826618460000002e-07
2019,3.788352275400001e-06,4.008109506960001e-06,4.919938020000001e-07,1.9269757245e-06,1.8367768608e-06,5.133135334200001e-07,2.0718405662000014e-07,4.591942152000001e-07
2020,5.575929756000001e-06,4.515409782800001e-06,7.653236920000003e-07,2.8590306494000005e-06,1.8958161170400003e-06,7.871900832000001e-07,2.6567665308000005e-07,6.0897899492e-07
2021,3.569688363400001e-06,4.121814741200001e-06,6.242854687600001e-07,1.8914428388e-06,1.5667269294800004e-06,2.2959710760000006e-07,1.2075714540200004e-06,1.8586432520000006e-07
2022,5.029269976000001e-06,4.894245010340001e-06,1.3557162544000002e-06,3.436303377080001e-06,2.8535640516000007e-06,8.484159785600001e-07,2.60920712994e-06,9.5337465632e-07
2023,4.335012055400001e-06,4.2125602646800006e-06,8.965220392000002e-07,3.96109676588e-06,2.2303719024e-06,3.498622592000001e-07,1.5115142917000006e-06,2.476368803400001e-07
2024,5.4337982132e-06,6.0394972494400015e-06,1.04248020046e-06,3.673553721600001e-06,2.3069042716000003e-06,6.3521866436e-07,1.5459538578400004e-06,6.231921492000001e-07
2025,4.899414290291573e-06,5.233725793103448e-06,7.433160000000001e-07,1.9323643235185186e-06,2.080303524752476e-06,2.3188882606438212e-07,1.1114286163398693e-06,5.829929411764705e-07
