WATERYEAR,GSLOOK,GSWS01,GSWS02,GSWS03,GSWS08,GSWS09,GSWS10,GSWSMC
2000,2000-08-24,2000-08-12,2000-09-13,2000-08-30,2000-08-29,2000-08-23,2000-09-15,2000-09-14
2001,2001-09-07,2001-08-12,2001-09-09,2001-09-08,2001-09-08,2001-09-01,2001-09-03,2001-09-08
2002,2002-09-09,2002-08-13,2002-09-07,2002-09-06,2002-09-08,2002-08-30,2002-08-29,2002-09-08
2003,2003-08-25,2003-08-19,2003-08-29,2003-08-25,2003-08-24,2003-08-19,2003-08-23,2003-09-05
2004,2004-08-16,2004-07-30,2004-08-18,2004-08-11,2004-08-14,2004-08-08,2004-08-11,2004-08-16
2005,2005-08-25,2005-08-15,2005-09-06,2005-09-03,2005-09-04,2005-08-24,2005-08-25,2005-09-06
2006,2006-09-02,2006-08-20,2006-09-04,2006-08-31,2006-08-29,2006-08-27,2006-08-26,2006-09-02
2007,2007-09-09,2007-08-03,2007-09-09,2007-09-11,2007-09-09,2007-08-31,2007-09-03,2007-09-11
2008,2008-09-11,2008-08-15,2008-09-14,2008-09-12,2008-09-12,2008-09-08,2008-09-08,2008-09-11
2009,2009-09-03,2009-08-19,2009-09-12,2009-09-12,2009-09-02,2009-08-25,2009-08-27,2009-09-10
2010,2010-08-19,2010-08-14,2010-08-25,2010-08-23,2010-08-22,2010-08-25,2010-08-24,2010-08-23
2011,2011-09-07,2011-09-04,2011-09-10,2011-09-08,2011-09-09,2011-09-08,2011-09-07,2011-09-12
2012,2012-09-14,2012-09-05,2012-09-18,2012-09-07,2012-09-14,2012-09-08,2012-09-07,2012-09-12
2013,2013-08-17,2013-08-06,2013-08-24,2013-08-20,2013-08-30,2013-08-16,2013-08-19,2013-08-31
2014,2014-09-06,2014-08-26,2014-09-09,2014-09-07,2014-09-06,2014-09-05,2014-09-06,2014-09-09
2015,2015-08-16,2015-08-01,2015-08-22,2015-08-18,2015-08-16,2015-07-31,2015-08-13,2015-08-14
2016,2016-08-27,2016-08-15,2016-08-26,2016-08-27,2016-08-25,2016-08-19,2016-08-20,2016-08-27
2017,2017-08-29,2017-08-19,2017-08-25,2017-08-25,2017-08-30,2017-08-26,2017-08-27,2017-08-29
2018,2018-08-22,2018-08-02,2018-08-29,2018-08-21,2018-08-23,2018-08-15,2018-08-14,2018-09-03
2019,2019-08-15,2019-08-02,2019-08-19,2019-08-18,2019-08-19,2019-08-15,2019-08-15,2019-08-20
2020,2020-08-15,2020-08-19,2020-08-22,,2020-09-04,2020-08-16,2020-08-27,2020-09-06
2021,2021-08-29,2021-08-12,2021-08-30,2021-08-30,2021-08-26,2021-08-28,2021-08-25,2021-08-30
2022,2022-09-07,2022-08-31,2022-09-07,2022-09-02,2022-09-02,2022-09-01,2022-09-06,2022-09-05
2023,2023-09-08,2023-08-22,2023-09-08,2023-08-16,2023-08-19,2023-09-07,2023-08-25,2023-08-23
2024,2024-09-05,2024-08-31,2024-08-10,2024-08-30,2024-09-04,2024-09-04,2024-09-01,2024-09-02
2025,2025-08-30,2025-08-13,2025-07-27,2025-07-17,2025-08-28,2025-08-23,2025-07-25,2025-09-01
