gridcode,month,date,mean,stdDev,standard_error,count
0,2020_01,2020-01-01,8.969160188607114,1.8005668041832075,0.15217566954783654,140
1,2020_01,2020-01-01,8.784692184470718,1.697243697469545,0.04544196478884946,1395
2,2020_01,2020-01-01,8.705614940410365,1.7275827655000493,0.07561424346924868,522
3,2020_01,2020-01-01,8.170807453416147,1.8654339307517696,0.1474755011434102,160
0,2020_02,2020-02-01,27.008704920945135,3.2988178301106514,0.22983952903719276,206
1,2020_02,2020-02-01,26.880965967451104,3.172005301485644,0.0758254297059202,1750
2,2020_02,2020-02-01,26.742333149476007,3.373015644967188,0.13281236132107477,645
3,2020_02,2020-02-01,26.69001432105194,3.1271765276321966,0.22868179600350594,187
0,2020_03,2020-03-01,47.8057381417659,6.5381844264525615,0.45553689434368044,206
1,2020_03,2020-03-01,47.675580904339085,6.8471739202299755,0.16367876325094402,1750
2,2020_03,2020-03-01,48.94677330391616,7.082187512707233,0.27886086098792073,645
3,2020_03,2020-03-01,51.561819207568455,7.203948923597203,0.526804919264696,187
0,2020_04,2020-04-01,88.76123645407719,6.489136567556812,0.4521195680863819,206
1,2020_04,2020-04-01,88.3582776015157,7.311218575670172,0.1747715522147609,1750
2,2020_04,2020-04-01,86.84255377826804,7.498710503492667,0.2952614377339168,645
3,2020_04,2020-04-01,90.5863819815128,6.534448647837915,0.4778462103038683,187
0,2020_05,2020-05-01,107.84517676319068,8.852186326121949,0.6167610462069987,206
1,2020_05,2020-05-01,108.1634749263884,10.399602017502879,0.24859803714022238,1750
2,2020_05,2020-05-01,108.20293712079426,9.835306747559066,0.3872648249970172,645
3,2020_05,2020-05-01,111.83483053421861,8.261040384903852,0.6041071028080764,187
0,2020_06,2020-06-01,121.80778113341634,6.750884498487821,0.4703564105765975,206
1,2020_06,2020-06-01,124.3439090639337,6.517772224887095,0.15580455664620277,1750
2,2020_06,2020-06-01,125.69994484280198,6.421342336427589,0.2528401075827893,645
3,2020_06,2020-06-01,130.28472855096987,4.915151269499016,0.3594314583798089,187
0,2020_07,2020-07-01,159.05604903179966,8.845284952304034,0.6162802047087077,206
1,2020_07,2020-07-01,160.05258953230918,9.650046420529245,0.23068023126443024,1750
2,2020_07,2020-07-01,161.1399613899613,9.180903934551493,0.3614977393980013,645
3,2020_07,2020-07-01,165.86060842772204,6.879225529625037,0.5030587929166145,187
0,2020_08,2020-08-01,136.96384793036074,15.059686604253848,1.049258084206888,206
1,2020_08,2020-08-01,133.0055750838831,14.708523742846408,0.3516009675704844,1750
2,2020_08,2020-08-01,137.93525923883067,15.574142629201093,0.6132312671664261,645
3,2020_08,2020-08-01,146.98463741700292,15.756687894909831,1.1522431353125326,187
0,2020_09,2020-09-01,74.58287440042643,9.487027969229556,0.6609925593670193,206
1,2020_09,2020-09-01,76.75908732966607,8.592923448265722,0.20541015886375083,1750
2,2020_09,2020-09-01,73.80772200772192,7.537188214282149,0.29677649611670415,645
3,2020_09,2020-09-01,75.28533611074941,6.69418334891673,0.48952716851138106,187
0,2020_10,2020-10-01,45.12098063599221,5.668666326783038,0.39495469768729385,206
1,2020_10,2020-10-01,44.56160553285704,4.685700487784577,0.11200966555544499,1750
2,2020_10,2020-10-01,43.12055984555981,4.243225901093812,0.16707685669465563,645
3,2020_10,2020-10-01,41.98320531180834,4.624144288475513,0.3381509203347114,187
0,2020_11,2020-11-01,17.419879197015472,1.8533075293081287,0.1291260541304203,206
1,2020_11,2020-11-01,17.574156604505713,1.7791122757701203,0.04252891782436938,1750
2,2020_11,2020-11-01,16.96412024269167,1.8256589130829053,0.07188524950223471,645
3,2020_11,2020-11-01,16.486308206396732,2.3030068485530535,0.1684125400922775,187
0,2020_12,2020-12-01,15.236542902824667,1.8445132797909303,0.12851332973296528,206
1,2020_12,2020-12-01,14.436899408824276,2.2882672171629923,0.05470004887510412,1750
2,2020_12,2020-12-01,13.494911748483178,2.4484866415245032,0.09640906736059345,645
3,2020_12,2020-12-01,13.450028208132617,2.4655364236121775,0.18029787972686132,187
0,2021_01,2021-01-01,15.215135903357622,2.5308167579172505,0.17633035883634252,206
1,2021_01,2021-01-01,15.011757891853643,2.542262595020589,0.0607716997201861,1750
2,2021_01,2021-01-01,14.15024820739107,2.686167206478811,0.10576773046635433,645
3,2021_01,2021-01-01,13.98646009634162,2.842737693971877,0.20788156846283837,187
0,2021_02,2021-02-01,15.9514123290105,2.19365918850437,0.15283947787351537,206
1,2021_02,2021-02-01,16.131128597840732,2.2345289600874283,0.05341545882965451,1750
2,2021_02,2021-02-01,15.843367346938772,2.308868108574396,0.09091159299430766,645
3,2021_02,2021-02-01,15.902009286985203,2.4493963443848683,0.17911760024064546,187
0,2021_03,2021-03-01,49.33700479658914,6.46781222412478,0.450633830678663,206
1,2021_03,2021-03-01,50.216811987856936,6.1072114215031865,0.14599027628468758,1750
2,2021_03,2021-03-01,48.95725317153887,5.908207566736581,0.23263544575731132,645
3,2021_03,2021-03-01,50.08197717311111,5.610815878791856,0.4103034929015117,187
