START DATE,Q,dQdt,Mode,log_Q,log_dQdt,WATERYEAR,Fire,END DATE
2000-06-13,9.752410475200004e-05,-2.0882403595999958e-05,Raw,-4.010888027717539,-4.680219514845935,2000,Pre-fire,
2000-06-14,6.855113641200001e-05,-2.897296834000003e-05,Raw,-4.163985341262945,-4.538007008156853,2000,Pre-fire,
2000-06-15,5.4447314088000016e-05,-1.4103822323999995e-05,Raw,-4.2640235393339445,-4.850663171794413,2000,Pre-fire,
2000-06-16,4.581008956400001e-05,-8.637224524000004e-06,Raw,-4.339038859127366,-5.06362579080322,2000,Pre-fire,
2000-06-17,3.990616394e-05,-5.903925624000015e-06,Raw,-4.3989600176371875,-5.228859122270692,2000,Pre-fire,
2000-06-18,3.586088156800001e-05,-4.045282371999988e-06,Raw,-4.445379038381983,-5.393051158026668,2000,Pre-fire,
2000-06-19,3.269025484400001e-05,-3.1706267239999997e-06,Raw,-4.485581693769232,-5.498854884194706,2000,Pre-fire,
2000-06-20,3.0394283768000004e-05,-2.2959710760000045e-06,Raw,-4.517208086175585,-5.639033587359742,2000,Pre-fire,
2000-06-21,2.8098312692000003e-05,-2.295971076000001e-06,Raw,-4.551319758762367,-5.639033587359743,2000,Pre-fire,
2000-06-22,2.634900139600001e-05,-1.7493112959999939e-06,Raw,-4.579235839518793,-5.757132899437739,2000,Pre-fire,
2000-06-23,2.449035814400001e-05,-1.858643252e-06,Raw,-4.611004863759499,-5.730803960715388,2000,Pre-fire,
2000-06-24,2.317837467200001e-05,-1.3119834719999997e-06,Raw,-4.6349170211649104,-5.882071636046037,2000,Pre-fire,
2000-06-25,2.1757059244000004e-05,-1.4213154280000058e-06,Raw,-4.662399805683955,-5.847309529786823,2000,Pre-fire,
2000-06-26,2.0882403596e-05,-8.746556480000054e-07,Raw,-4.680219514845934,-6.058162895101716,2000,Pre-fire,
2000-06-27,1.9461088168000003e-05,-1.4213154279999957e-06,Raw,-4.710832879784768,-5.847309529786826,2000,Pre-fire,
2000-06-28,1.9023760344e-05,-4.373278240000044e-07,Raw,-4.720703633811062,-6.359192890765695,2000,Pre-fire,
2000-06-29,1.8149104696000003e-05,-8.746556479999952e-07,Raw,-4.741144794053606,-6.05816289510172,2000,Pre-fire,
2000-06-30,1.7274449048000004e-05,-8.746556479999986e-07,Raw,-4.762595795139239,-6.058162895101719,2000,Pre-fire,
2000-07-01,1.6837121224000003e-05,-4.37327824000001e-07,Raw,-4.773732161257199,-6.359192890765699,2000,Pre-fire,
2000-07-02,1.6290461444000003e-05,-5.466597800000004e-07,Raw,-4.788066613681387,-6.2622828777576425,2000,Pre-fire,
2000-07-09,1.3666494500000002e-05,-8.746556480000003e-07,Raw,-4.864342869085605,-6.058162895101718,2000,Pre-fire,
2000-07-10,1.3119834720000002e-05,-5.466597800000004e-07,Raw,-4.882071636046037,-6.2622828777576425,2000,Pre-fire,
2000-07-11,1.2682506896000002e-05,-4.373278239999993e-07,Raw,-4.896794892866743,-6.3591928907657,2000,Pre-fire,
2000-07-12,1.2245179072000005e-05,-4.373278239999976e-07,Raw,-4.91203485942348,-6.359192890765701,2000,Pre-fire,
2000-07-13,1.1807851248000002e-05,-4.373278240000027e-07,Raw,-4.927829126606712,-6.359192890765697,2000,Pre-fire,
2000-07-14,1.1370523424e-05,-4.373278240000027e-07,Raw,-4.944219542794881,-6.359192890765697,2000,Pre-fire,
2001-05-17,8.888688022800003e-05,-3.4111570271999964e-05,Raw,-4.051162336499593,-4.46709828807522,2001,Pre-fire,
2001-05-18,6.898846423600001e-05,-1.989841599200002e-05,Raw,-4.161223522849528,-4.701181494108586,2001,Pre-fire,
2001-05-19,5.7617940812e-05,-1.1370523424000006e-05,Raw,-4.239442266881115,-4.944219542794881,2001,Pre-fire,
2001-05-20,4.9418044112e-05,-8.1998967e-06,Raw,-4.30611444728228,-5.086191618701962,2001,Pre-fire,
2001-05-21,4.307679066400001e-05,-6.341253447999993e-06,Raw,-4.3657566602680875,-5.197824888530725,2001,Pre-fire,
2001-05-22,3.8594180468e-05,-4.482610196000013e-06,Raw,-4.413478176705839,-5.348469025373925,2001,Pre-fire,
2001-05-23,3.4986225920000006e-05,-3.6079545479999906e-06,Raw,-4.456102903773756,-5.442738942215775,2001,Pre-fire,
2001-05-24,3.181559919600001e-05,-3.1706267239999997e-06,Raw,-4.497359893107754,-5.498854884194706,2001,Pre-fire,
2001-05-25,2.951962812000001e-05,-2.2959710759999977e-06,Raw,-4.529889117934674,-5.639033587359743,2001,Pre-fire,
2001-05-26,2.7660984868e-05,-1.8586432520000102e-06,Raw,-4.558132360917844,-5.730803960715385,2001,Pre-fire,
2001-05-27,2.5911673572000005e-05,-1.7493112959999939e-06,Raw,-4.586504536083558,-5.757132899437739,2001,Pre-fire,
2001-05-28,2.449035814400001e-05,-1.4213154279999957e-06,Raw,-4.611004863759499,-5.847309529786826,2001,Pre-fire,
2001-05-29,2.317837467200001e-05,-1.3119834719999997e-06,Raw,-4.6349170211649104,-5.882071636046037,2001,Pre-fire,
2001-05-30,2.1757059244000004e-05,-1.4213154280000058e-06,Raw,-4.662399805683955,-5.847309529786823,2001,Pre-fire,
2001-05-31,2.0445075772000004e-05,-1.3119834719999997e-06,Raw,-4.689411275557163,-5.882071636046037,2001,Pre-fire,
2001-06-01,2.0007747948000003e-05,-4.37327824000001e-07,Raw,-4.698801792363232,-6.359192890765699,2001,Pre-fire,
2001-06-07,1.858643252e-05,-2.733298900000002e-06,Raw,-4.730803960715388,-5.563312873421624,2001,Pre-fire,
2001-06-08,1.7274449048000004e-05,-1.3119834719999963e-06,Raw,-4.762595795139239,-5.882071636046038,2001,Pre-fire,
2001-06-09,1.6837121224000003e-05,-4.37327824000001e-07,Raw,-4.773732161257199,-6.359192890765699,2001,Pre-fire,
2001-06-10,1.5853133620000002e-05,-9.839876040000014e-07,Raw,-4.799884879858687,-6.007010372654336,2001,Pre-fire,
2001-06-13,1.858643252e-05,-3.170626724000003e-06,Raw,-4.730803960715388,-5.498854884194706,2001,Pre-fire,
2001-06-14,1.6290461444000003e-05,-2.2959710759999977e-06,Raw,-4.788066613681387,-5.639033587359743,2001,Pre-fire,
2001-06-15,1.5415805796e-05,-8.74655648000002e-07,Raw,-4.8120337694382815,-6.0581628951017175,2001,Pre-fire,
2001-06-16,1.4978477972000003e-05,-4.373278239999976e-07,Raw,-4.8245323149372545,-6.359192890765701,2001,Pre-fire,
2001-06-17,1.4103822324000005e-05,-8.746556479999986e-07,Raw,-4.850663171794412,-6.058162895101719,2001,Pre-fire,
2001-06-18,1.3666494500000002e-05,-4.373278240000027e-07,Raw,-4.864342869085605,-6.359192890765697,2001,Pre-fire,
2001-06-19,1.2682506896000002e-05,-9.839876039999997e-07,Raw,-4.896794892866743,-6.007010372654337,2001,Pre-fire,
2001-06-20,1.2245179072000005e-05,-4.373278239999976e-07,Raw,-4.91203485942348,-6.359192890765701,2001,Pre-fire,
2001-06-21,1.1807851248000002e-05,-4.373278240000027e-07,Raw,-4.927829126606712,-6.359192890765697,2001,Pre-fire,
2001-06-22,1.1370523424e-05,-4.373278240000027e-07,Raw,-4.944219542794881,-6.359192890765697,2001,Pre-fire,
2001-06-23,1.0933195600000002e-05,-4.373278239999976e-07,Raw,-4.961252882093662,-6.359192890765701,2001,Pre-fire,
2001-06-28,1.1370523424e-05,-2.2959710760000028e-06,Raw,-4.944219542794881,-5.639033587359742,2001,Pre-fire,
2001-06-29,1.038653582e-05,-9.839876039999997e-07,Raw,-4.983529276804814,-6.007010372654337,2001,Pre-fire,
2001-06-30,9.949207996000002e-06,-4.373278239999976e-07,Raw,-5.002211489772568,-6.359192890765701,2001,Pre-fire,
2001-07-01,9.511880172e-06,-4.373278240000027e-07,Raw,-5.021733629475043,-6.359192890765697,2001,Pre-fire,
2001-07-02,9.074552348000002e-06,-4.373278239999976e-07,Raw,-5.0421747897175875,-6.359192890765701,2001,Pre-fire,
2001-07-04,8.637224524000002e-06,-4.373278239999993e-07,Raw,-5.06362579080322,-6.3591928907657,2001,Pre-fire,
2001-07-05,8.199896700000001e-06,-4.37327824000001e-07,Raw,-5.086191618701962,-6.359192890765699,2001,Pre-fire,
2001-07-06,7.762568876e-06,-4.37327824000001e-07,Raw,-5.109994533374587,-6.359192890765699,2001,Pre-fire,
2001-07-07,7.2159090960000015e-06,-5.466597799999987e-07,Raw,-5.141708946551793,-6.262282877757644,2001,Pre-fire,
2001-07-13,9.511880172e-06,-4.154614328000003e-06,Raw,-5.021733629475043,-5.381469285476851,2001,Pre-fire,
2001-07-14,8.199896700000001e-06,-1.311983471999998e-06,Raw,-5.086191618701962,-5.882071636046038,2001,Pre-fire,
2001-07-15,7.2159090960000015e-06,-9.839876039999997e-07,Raw,-5.141708946551793,-6.007010372654337,2001,Pre-fire,
2001-08-24,4.5919421520000005e-06,-8.746556480000003e-07,Raw,-5.338003591695761,-6.058162895101718,2001,Pre-fire,
2001-08-25,4.2639462840000006e-06,-3.279958679999999e-07,Raw,-5.370188275067163,-6.4841316273739995,2001,Pre-fire,
2001-08-26,4.154614328e-06,-1.0933195600000025e-07,Raw,-5.381469285476852,-6.96125288209366,2001,Pre-fire,
2001-08-27,4.045282372000001e-06,-1.093319559999994e-07,Raw,-5.393051158026666,-6.961252882093664,2001,Pre-fire,
2002-04-15,0.00023725034452,-0.000243591597968,Raw,-3.624793148245132,-3.6133376955919703,2002,Pre-fire,
2002-04-16,0.000153830062092,-8.3420282428e-05,Raw,-3.812958784658916,-4.078728344138781,2002,Pre-fire,
2002-04-17,0.000118843836172,-3.498622592000001e-05,Raw,-3.9250233380073674,-4.456102903773756,2002,Pre-fire,
2002-04-18,9.752410475200004e-05,-2.1319731419999955e-05,Raw,-4.010888027717539,-4.671218270731145,2002,Pre-fire,
2002-04-19,8.4404270032e-05,-1.3119834720000037e-05,Raw,-4.073635581757926,-4.882071636046036,2002,Pre-fire,
2002-04-20,7.3908402256e-05,-1.0495867775999997e-05,Raw,-4.131306186152026,-4.978981649054093,2002,Pre-fire,
2002-04-21,6.712982098400001e-05,-6.778581271999997e-06,Raw,-4.173084510952494,-5.168861192595408,2002,Pre-fire,
2002-04-22,6.264721078800001e-05,-4.482610195999999e-06,Raw,-4.203098260126271,-5.348469025373927,2002,Pre-fire,
2002-04-23,5.991391188800001e-05,-2.733298900000002e-06,Raw,-4.222472323609293,-5.563312873421624,2002,Pre-fire,
