START DATE,END DATE,Q,dQdt,Mode,log_Q,log_dQdt,WATERYEAR,Fire
2000-06-13,,0.000140710227372,-7.707902898000001e-05,,-3.851674335189275,-4.113063765102263,2000,Pre-fire
2000-06-14,,8.859168394680001e-05,-5.2118543425199986e-05,,-4.052607043186549,-4.28300773016662,2000,Pre-fire
2000-06-15,,6.545704205720001e-05,-2.3134641889599998e-05,,-4.184043623947977,-4.6357372187305135,2000,Pre-fire
2000-06-16,,5.423958337160002e-05,-1.1217458685599998e-05,,-4.265683655057476,-4.950105521317864,2000,Pre-fire
2000-06-17,,4.7395402926e-05,-6.844180445600015e-06,,-4.3242637802814325,-5.164678548883231,2000,Pre-fire
2000-06-18,,4.1874139148000006e-05,-5.521263777999995e-06,,-4.378054108125039,-5.257961503975,2000,Pre-fire
2000-06-19,,3.719473143120001e-05,-4.679407716799999e-06,,-4.429518572817112,-5.32980911308049,2000,Pre-fire
2000-06-20,,3.363050966560001e-05,-3.564221765599999e-06,,-4.473266550964269,-5.448035282025723,2000,Pre-fire
2000-06-21,,3.1323605394000004e-05,-2.306904271600004e-06,,-4.504128255790253,-5.636970426795968,2000,Pre-fire
2000-06-22,,2.9290031012400004e-05,-2.0335743816000005e-06,,-4.533280168485453,-5.691739937875745,2000,Pre-fire
2000-06-23,,2.756258610760001e-05,-1.7274449047999947e-06,,-4.559680036417216,-5.762595795139241,2000,Pre-fire
2000-06-24,,2.60319387236e-05,-1.5306473840000086e-06,,-4.584493486688782,-5.815124846415421,2000,Pre-fire
2000-06-25,,2.43482266012e-05,-1.6837121223999997e-06,,-4.613532665059624,-5.773732161257199,2000,Pre-fire
2000-06-26,,2.299251034680001e-05,-1.3557162543999913e-06,,-4.6384136094073405,-5.867831196931429,2000,Pre-fire
2000-06-27,,2.1571194918800004e-05,-1.4213154280000058e-06,,-4.66612579684147,-5.847309529786823,2000,Pre-fire
2000-06-28,,2.02482782512e-05,-1.3229166676000026e-06,,-4.693611899747746,-5.8784675117772105,2000,Pre-fire
2000-06-29,,1.88269628232e-05,-1.4213154280000024e-06,,-4.725219734976026,-5.847309529786824,2000,Pre-fire
2000-06-30,,1.8236570260800003e-05,-5.903925623999954e-07,,-4.739056835791942,-6.228859122270697,2000,Pre-fire
2000-07-01,,1.7558712133600004e-05,-6.77858127199999e-07,,-4.755507341151,-6.168861192595409,2000,Pre-fire
2000-07-02,,1.7077651527200005e-05,-4.810606063999994e-07,,-4.76757185255238,-6.317800205607475,2000,Pre-fire
