START DATE,END DATE,Q,dQdt,Mode,log_Q,log_dQdt,WATERYEAR,Fire
2000-06-13,,3.8353650164800006e-05,-5.9476584063999995e-05,,-4.4161932973996585,-4.225653982395482,2000,Pre-fire
2000-06-14,,2.1319731420000003e-05,-1.7033918744800003e-05,,-4.671218270731144,-4.768685428757116,2000,Pre-fire
2000-06-15,,1.5656336099200002e-05,-5.6633953208e-06,,-4.805309864121825,-5.246923122348429,2000,Pre-fire
2000-06-16,,1.2431043397200005e-05,-3.2252927019999977e-06,,-4.9054924174059265,-5.491430866115499,2000,Pre-fire
2000-06-17,,1.02553374728e-05,-2.1757059244000055e-06,,-4.989050043714597,-5.662399805683954,2000,Pre-fire
2000-06-18,,9.3150826512e-06,-9.402548215999996e-07,,-5.0308132873269615,-6.026754430850094,2000,Pre-fire
2000-06-19,,8.342028242800001e-06,-9.730544083999984e-07,,-5.078728344138781,-6.01186287544875,2000,Pre-fire
2000-06-20,,7.434573008000001e-06,-9.074552348e-07,,-5.1287439693874255,-6.0421747897175875,2000,Pre-fire
2000-06-21,,6.767648076400001e-06,-6.669249316000003e-07,,-5.169562233073544,-6.175923047082895,2000,Pre-fire
2000-06-26,,5.4993973868000005e-06,-8.527892567999994e-07,,-5.259684897037734,-6.069158279403181,2000,Pre-fire
2000-06-27,,4.9636708024000005e-06,-5.357265844e-07,,-5.3041970292365574,-6.271056802065148,2000,Pre-fire
2000-06-28,,4.6028753476e-06,-3.607954548000004e-07,,-5.336970786257994,-6.442738942215774,2000,Pre-fire
2000-06-30,,4.0780819588000006e-06,-3.717286504e-07,,-5.389544050284974,-6.429773965051407,2000,Pre-fire
2000-07-06,,3.9031508292e-06,-5.138601932000008e-07,,-5.4085846659814685,-6.289155024157943,2000,Pre-fire
2000-07-07,,3.4111570272000007e-06,-4.919938019999994e-07,,-5.467098288075219,-6.308040368318318,2000,Pre-fire
2000-08-02,2000-08-03,2.774298383500001e-06,-4.263946283999997e-07,Aggregated,-5.556846831172392,-6.370188275067163,2000,Pre-fire
2000-08-04,2000-08-06,2.3287706628000003e-06,-1.9679752080000024e-07,Aggregated,-5.632873278654924,-6.705980376990355,2000,Pre-fire
2001-05-16,,0.0001307391529848,-8.659090915199983e-06,,-3.8835943330095306,-5.062527700504169,2001,Pre-fire
2001-05-17,,6.780767911120001e-05,-6.29314738736e-05,,-4.168721120192354,-4.201132096829094,2001,Pre-fire
2001-05-18,,4.32298554024e-05,-2.4577823708800013e-05,,-4.364216217116009,-4.609456575196638,2001,Pre-fire
2001-05-19,,3.2220127433200006e-05,-1.1009727969199992e-05,,-4.491872746243737,-4.958223411540044,2001,Pre-fire
2001-05-20,,2.643646696080001e-05,-5.783660472399996e-06,,-4.577796585568908,-5.237797210058476,2001,Pre-fire
2001-05-21,,2.3725034452000003e-05,-2.7114325088000063e-06,,-4.624793148245132,-5.566801201267444,2001,Pre-fire
2001-05-22,,2.1035468334400003e-05,-2.6895661176000003e-06,,-4.677047814391868,-5.570317774990283,2001,Pre-fire
2001-05-23,,1.83787018036e-05,-2.6567665308000015e-06,,-4.73568516865419,-5.575646608495349,2001,Pre-fire
2001-05-24,,1.64763257692e-05,-1.9023760344000019e-06,,-4.78313962977903,-5.720703633811062,2001,Pre-fire
2001-05-25,,1.5776601250800005e-05,-6.997245183999948e-07,,-4.801986551000168,-6.155072908109778,2001,Pre-fire
2001-05-26,,1.50440771456e-05,-7.325241052000055e-07,,-4.82263444819417,-6.135178079392832,2001,Pre-fire
2001-05-27,,1.4563016539200003e-05,-4.81060606399996e-07,,-4.836748657259379,-6.317800205607478,2001,Pre-fire
2001-05-29,,1.3283832654000004e-05,-1.0386535819999994e-06,,-4.87667660415933,-5.9835292768048145,2001,Pre-fire
