"Predictor","R2","n","f","p"
"FDC Slope",0.930919882119674,8,95.3316163143612,6.6367584389909e-05
"Pyro (all watersheds)",0.294600029160023,8,3.92344809947261,0.0949226267346334
"Pyro (no WS 8)",0.870056857821481,7,41.1740411953181,0.0013642384004088
"Lava (all watersheds)",0.252171861350189,8,3.36043943550769,0.116478583994701
"Lava (no WS 8)",0.834124935891061,7,31.1718021465811,0.00254169176562189
"Mean Slope",-0.095286031581479,8,0.391024625679494,0.554783651052487
"St. Dev. of Slope",0.365400657091299,8,5.03058185959558,0.0660834135516972
"Young Landslide Deposits",-0.144167256428403,8,0.117986649828612,0.742944841199786
"Moderate Landslide Deposits",-0.0649241065876021,8,0.57323837135259,0.477643509815826
"Old Landslide Deposits",-0.143279596147225,8,0.122736751000828,0.738056211160473
"Total Landslide Deposits",-0.06326640073603,8,0.583486504562127,0.473906156471457
"TRI",-0.112602780889675,8,0.291553571709178,0.608667990439708
"Segura Damping Ratio",-0.18280480806161,5,0.381792137415496,0.580382589241258
"McGuire Damping Ratio",-0.0317573904925059,7,0.815320593086249,0.407945180214864
"Mean Damping Ratio",0.215281905620738,8,2.92040090592945,0.138325785628007
"Drainage Area (all watersheds)",0.184590249008956,8,2.58464102433439,0.159029146607839
"Drainage Area (no LO)",0.548459463963504,7,8.28784355147031,0.034634106735976
"Sidney FDC",0.928325031264122,8,91.6631050345476,7.41960164464891e-05
