"Predictor","R2","n","f","p"
"FDC Slope",0.90315039600446,8,66.2770121013848,0.00018463302595225
"Pyro (all watersheds)",0.305947280432353,8,4.08568917410277,0.0897375817086817
"Pyro (no WS 8)",0.890785848348632,7,49.9379353250221,0.000877583256652713
"Lava (all watersheds)",0.23029855373148,8,3.09443529557558,0.129055678273284
"Lava (no WS 8)",0.790769462091896,7,23.6765022925825,0.00460953427877309
"Mean Slope",-0.068412127760678,8,0.551778867085254,0.485646756849711
"St. Dev. of Slope",0.345028352846447,8,4.68748552768866,0.0735615021723015
"Young Landslide Deposits",-0.146498217466785,8,0.10554808839273,0.756299648881697
"Moderate Landslide Deposits",-0.129208977679159,8,0.199029708732003,0.671153583026389
"Old Landslide Deposits",-0.124214631774412,8,0.226569021745874,0.650916079206581
"Total Landslide Deposits",-0.0998653237055429,8,0.364415578096767,0.568169045700822
"TRI",-0.142224445664533,8,0.128392739771455,0.732373983177331
"Segura Damping Ratio",-0.167940013802857,5,0.424833426997546,0.56101642813544
"McGuire Damping Ratio",-0.0408701425463256,7,0.76440783028125,0.421953729444018
"Mean Damping Ratio",0.157082965600664,8,2.30449464695919,0.179798413513818
"Drainage Area (all watersheds)",0.371621894013321,8,5.13978977515235,0.0639208313094595
"Drainage Area (no LO)",0.70311125910491,7,15.2095909124428,0.0114098955429434
"Sidney FDC",0.863981107275721,8,45.4634390840805,0.000518531150360116
